SMILES,template
ClC1(C2=CC=CC=C2)N=N1,[*:2]-[#6]1:[#6](-[*:1]):[#6](:[#6]2:[#7&H1](:[#6](-[*:5]):[#6](-[*:4]):[#6]:2:[#6]:1-[*:3])-[H])-[H].[#17]-[#6]1(-[a:6])-[#7]=[#7]-1>>[*:5]-[#6]1:[#7]:[#6]2:[#6](:[#6](-[*:1]):[#6](-[*:2]):[#6](-[*:3]):[#6]:2:[#6](-[*:4]):[#6]:1-[a:6])-[H]
ClC1(C2=CC=C(F)C=C2)N=N1,[*:2]-[#6]1:[#6](-[*:1]):[#6](:[#6]2:[#7&H1](:[#6](-[*:5]):[#6](-[*:4]):[#6]:2:[#6]:1-[*:3])-[H])-[H].[#17]-[#6]1(-[a:6])-[#7]=[#7]-1>>[*:5]-[#6]1:[#7]:[#6]2:[#6](:[#6](-[*:1]):[#6](-[*:2]):[#6](-[*:3]):[#6]:2:[#6](-[*:4]):[#6]:1-[a:6])-[H]
ClC1(C2=CC=C(C)C=C2)N=N1,[*:2]-[#6]1:[#6](-[*:1]):[#6](:[#6]2:[#7&H1](:[#6](-[*:5]):[#6](-[*:4]):[#6]:2:[#6]:1-[*:3])-[H])-[H].[#17]-[#6]1(-[a:6])-[#7]=[#7]-1>>[*:5]-[#6]1:[#7]:[#6]2:[#6](:[#6](-[*:1]):[#6](-[*:2]):[#6](-[*:3]):[#6]:2:[#6](-[*:4]):[#6]:1-[a:6])-[H]
ClC1(C2=CC=C([N+]([O-])=O)C=C2)N=N1,[*:2]-[#6]1:[#6](-[*:1]):[#6](:[#6]2:[#7&H1](:[#6](-[*:5]):[#6](-[*:4]):[#6]:2:[#6]:1-[*:3])-[H])-[H].[#17]-[#6]1(-[a:6])-[#7]=[#7]-1>>[*:5]-[#6]1:[#7]:[#6]2:[#6](:[#6](-[*:1]):[#6](-[*:2]):[#6](-[*:3]):[#6]:2:[#6](-[*:4]):[#6]:1-[a:6])-[H]
ClC1(C2=CC=C(Br)C=C2)N=N1,[*:2]-[#6]1:[#6](-[*:1]):[#6](:[#6]2:[#7&H1](:[#6](-[*:5]):[#6](-[*:4]):[#6]:2:[#6]:1-[*:3])-[H])-[H].[#17]-[#6]1(-[a:6])-[#7]=[#7]-1>>[*:5]-[#6]1:[#7]:[#6]2:[#6](:[#6](-[*:1]):[#6](-[*:2]):[#6](-[*:3]):[#6]:2:[#6](-[*:4]):[#6]:1-[a:6])-[H]
ClC1(C2=NC=CC=C2)N=N1,[*:2]-[#6]1:[#6](-[*:1]):[#6](:[#6]2:[#7&H1](:[#6](-[*:5]):[#6](-[*:4]):[#6]:2:[#6]:1-[*:3])-[H])-[H].[#17]-[#6]1(-[a:6])-[#7]=[#7]-1>>[*:5]-[#6]1:[#7]:[#6]2:[#6](:[#6](-[*:1]):[#6](-[*:2]):[#6](-[*:3]):[#6]:2:[#6](-[*:4]):[#6]:1-[a:6])-[H]
ClC1(C2=CC=CC(C)=C2)N=N1,[*:2]-[#6]1:[#6](-[*:1]):[#6](:[#6]2:[#7&H1](:[#6](-[*:5]):[#6](-[*:4]):[#6]:2:[#6]:1-[*:3])-[H])-[H].[#17]-[#6]1(-[a:6])-[#7]=[#7]-1>>[*:5]-[#6]1:[#7]:[#6]2:[#6](:[#6](-[*:1]):[#6](-[*:2]):[#6](-[*:3]):[#6]:2:[#6](-[*:4]):[#6]:1-[a:6])-[H]
ClC1(C2=CC=C(Cl)C=C2)N=N1,[*:2]-[#6]1:[#6](-[*:1]):[#6](:[#6]2:[#7&H1](:[#6](-[*:5]):[#6](-[*:4]):[#6]:2:[#6]:1-[*:3])-[H])-[H].[#17]-[#6]1(-[a:6])-[#7]=[#7]-1>>[*:5]-[#6]1:[#7]:[#6]2:[#6](:[#6](-[*:1]):[#6](-[*:2]):[#6](-[*:3]):[#6]:2:[#6](-[*:4]):[#6]:1-[a:6])-[H]
ClC1(C2=CC=CC([N+]([O-])=O)=C2)N=N1,[*:2]-[#6]1:[#6](-[*:1]):[#6](:[#6]2:[#7&H1](:[#6](-[*:5]):[#6](-[*:4]):[#6]:2:[#6]:1-[*:3])-[H])-[H].[#17]-[#6]1(-[a:6])-[#7]=[#7]-1>>[*:5]-[#6]1:[#7]:[#6]2:[#6](:[#6](-[*:1]):[#6](-[*:2]):[#6](-[*:3]):[#6]:2:[#6](-[*:4]):[#6]:1-[a:6])-[H]
ClC1(C2=CC=CC=C2F)N=N1,[*:2]-[#6]1:[#6](-[*:1]):[#6](:[#6]2:[#7&H1](:[#6](-[*:5]):[#6](-[*:4]):[#6]:2:[#6]:1-[*:3])-[H])-[H].[#17]-[#6]1(-[a:6])-[#7]=[#7]-1>>[*:5]-[#6]1:[#7]:[#6]2:[#6](:[#6](-[*:1]):[#6](-[*:2]):[#6](-[*:3]):[#6]:2:[#6](-[*:4]):[#6]:1-[a:6])-[H]
ClC1(C2=CC=CC(Cl)=C2)N=N1,[*:2]-[#6]1:[#6](-[*:1]):[#6](:[#6]2:[#7&H1](:[#6](-[*:5]):[#6](-[*:4]):[#6]:2:[#6]:1-[*:3])-[H])-[H].[#17]-[#6]1(-[a:6])-[#7]=[#7]-1>>[*:5]-[#6]1:[#7]:[#6]2:[#6](:[#6](-[*:1]):[#6](-[*:2]):[#6](-[*:3]):[#6]:2:[#6](-[*:4]):[#6]:1-[a:6])-[H]
